# Directed graph
# Simulated Graph
# Nodes: 1000000; Edges: 12000; k: 5; Generated Cliques: 100
# FromNodeId	ToNodeId
723089	165963
671201	902859
865766	118617
50808	255162
319022	544240
164085	810182
291100	249060
268108	138476
595408	65362
378649	524631
941719	554418
21018	601853
617231	370650
329374	372030
683593	92614
807649	313679
225163	644286
101134	316860
471764	656233
343118	564279
389651	980393
217768	821162
526547	779382
992588	464408
930288	273214
95521	747596
752103	986749
168596	927066
891359	78966
120979	732712
381869	261902
210492	832552
49368	821252
526424	892704
88199	841051
456194	652298
16974	263749
651344	412371
424161	786507
208538	197479
641277	451434
318874	784962
934174	300485
367122	783240
461594	931101
217015	195915
869188	632725
319535	693508
581622	335755
824414	590116
438811	48641
7507	578939
209983	101474
100492	696293
362496	33419
336906	746712
469790	144133
652169	704767
682588	30841
970854	463222
494414	381356
512199	137164
514681	215830
958455	560305
883021	715967
382988	468026
762312	271130
496923	185785
69180	889140
256698	578595
66138	96697
838699	3016
97651	653840
371054	473041
425072	302105
170747	802966
759315	161792
658321	899041
828589	246751
487920	833972
453581	299175
879390	776710
738696	864334
512555	22342
496317	398744
707970	31506
773348	476213
250462	68266
762373	461540
109687	1271
26484	866069
408739	186280
633012	744703
530137	538158
785498	10678
913983	700360
897611	553337
987769	420725
794081	97712
911050	125447
11295	287626
972973	873368
817884	324017
803832	712769
186118	370271
937806	642798
988392	122874
442538	74614
364343	530158
945950	127632
249849	570392
991403	688089
229458	290656
886425	861360
20130	336100
974524	40508
516672	125710
886145	147102
648643	674081
312674	398159
465533	237578
715597	820740
649875	704884
550054	253194
971326	802863
169963	891517
807751	682570
805204	662776
441732	224395
680418	694075
87841	717128
298182	933676
146098	928748
103296	855185
342993	514435
44756	419539
989963	839788
790987	820268
1310	664409
46736	127726
216198	852388
841019	326460
291157	845559
327660	342913
89029	10723
148702	606609
237918	334550
833590	974485
260052	997521
914025	152442
752038	274647
550768	163112
705346	420112
722966	392291
431326	954623
474338	985467
995695	928350
826361	153755
433443	579093
994046	674514
773113	384460
264746	552815
483001	783224
92879	252210
25697	789180
250460	34586
759339	646323
542775	587598
271812	760764
218415	899571
153882	352444
699001	378223
949225	963231
327457	455616
419197	28104
765407	990347
629879	49972
303583	495596
294439	280161
765851	815539
73238	121304
64851	560508
680117	982957
677033	487546
580953	535047
598062	7904
607821	125637
461306	248742
665918	975993
226208	439718
369403	351017
369805	821155
175504	431858
13727	411685
799730	336116
411796	115986
9106	72210
501473	981634
884691	636261
725594	85988
958361	296659
64400	811915
212249	319086
834767	191144
409013	985453
566343	144110
479720	944463
919079	470040
906114	800739
107330	516533
86802	110994
244785	220383
511937	820453
748706	44606
102026	757255
352154	898937
493673	866862
987652	513108
708242	14652
292748	790298
100484	599800
594523	276806
755476	874124
461177	76882
50084	97936
914407	122898
78423	874445
448437	467990
726471	640938
559425	368726
47198	662746
642122	392650
618648	784772
17954	296787
508855	553916
984498	252401
103075	645309
866937	132617
791094	376487
99826	441058
65035	566278
113310	761034
798423	25154
446690	49711
931345	515852
414140	17572
213597	262940
209851	914651
509156	988389
210905	68771
762077	434620
372941	121839
769802	613005
323834	334995
107323	958955
912022	658275
761868	532741
839824	23103
337560	283977
397989	103386
10796	787993
367454	461702
296676	344875
493377	202373
649118	474116
268516	882148
363009	476709
865847	636299
582372	886387
171440	644727
993181	177653
941617	995786
286234	247788
974328	581905
13970	702226
356366	550623
298859	126351
253445	673823
501973	570621
792909	932178
201807	531327
12357	368837
45328	233157
712683	704322
759287	939706
711307	345601
755603	614815
579424	111998
226407	485289
648974	728982
643991	604350
934770	839000
330041	140173
66838	789813
968410	177182
526189	768783
280852	78918
264954	908393
191406	431778
227214	823091
401030	376403
224352	254954
387199	156462
761194	888511
301784	718665
918956	935286
384596	915354
725240	654109
169129	896381
443363	367694
268456	132655
468488	270700
620602	10013
313385	680368
249597	118501
681863	689055
586067	710093
301445	916901
139955	129511
952804	430445
952345	827987
390841	270488
542262	344126
607229	320952
935751	205960
954512	182473
456797	743972
154866	727265
620254	252769
269285	175930
444778	118037
496009	660284
553371	468314
295964	881890
842307	140407
204977	791988
464613	617359
185564	669537
983601	401186
475081	168861
845466	740732
889544	610493
149976	62946
232067	595838
218231	183381
700640	481771
759528	650462
893465	541570
35493	863436
778730	742554
430218	197005
322381	373121
670766	108127
558657	610648
137292	426578
60938	364879
626285	991006
844327	194059
246880	871351
680429	299787
30318	711534
263861	727958
398051	831208
666772	657104
226272	682569
355951	248590
79128	993460
494042	792775
110343	362316
914514	615198
143575	574084
250178	425864
158092	831981
786437	574152
762066	449890
237627	98890
70266	848432
35082	57828
708598	750048
230848	46103
288986	398947
879027	779467
659855	276930
476521	970944
294477	985352
59350	405001
861039	346065
802535	735067
927470	558163
444019	210608
972560	938720
785339	835255
53396	730026
623352	344402
